"sub_id","settlement_day","first_category_name","second_category_name","third_category_name","spu_id","vendor_id","vendor_name","store_id","sales_value","profit","sales_quantity"
"1","1/1/2025","海鲜水产","传统水发","黄喉","2842","1002021","（蜀沣鲜）掌厨黄喉直供","288621","28.88","0.88","1"
"1","1/1/2025","蔬菜水果","叶菜类","菜尖","2361","1002434","TP成都海小螺供应链管理有限公司","307269","14.74","3.01","5.1"
"1","1/1/2025","蔬菜水果","水果类","橘/橙","2395","1001953","蔬菜供应（水果-赵）优食汇客","192237","32.8536","8.5536","9.72"
"1","1/1/2025","冻品","鸡副类","去骨鸡腿肉","1466","1001942","吉安食品经营部","421489","133","3.5","1"
"1","1/1/2025","海鲜水产","贝壳蟹类","蛤蜊","2009","1000326","掌厨贝类供应（浙江）","262508","19","2","1"
"1","1/1/2025","蔬菜水果","茄果豆类","青椒类","1362","1002613","双流区鑫兴鼠草蔬菜经营部","81002","7.18","1.78","2"
"1","1/1/2025","蔬菜水果","根茎类","洋葱","1384","1001632","POP成都好豪钰农业有限公司","323234","13.5","2.7","10"
"1","1/1/2025","蔬菜水果","根茎类","洋葱","1384","1000977","蔬菜供应（颜氏）优食汇客","411291","8.5","0.5","5"
"1","1/1/2025","蔬菜水果","叶菜类","芹菜","1408","1002434","TP成都海小螺供应链管理有限公司","58055","71.914","8.77","17.54"
"1","1/1/2025","蔬菜水果","特菜类","特菜类","2378","1002595","成都市海一白农业科技有限公司","398519","2.68","0.68","1"
"1","1/1/2025","蔬菜水果","茄果豆类","西红柿/番茄","1371","1000225","蔬菜供应（唐老板）优食汇客","360441","10.4838","1.3938","6.06"
"1","1/1/2025","酒水饮料","茶饮料","凉茶","1852","1002629","四川省智合海供应链管理有限公司(优食汇客)","370672","50.9","2.9","1"
"1","1/1/2025","蔬菜水果","叶菜类","娃娃菜","2360","1001947","蔬菜供应（龙老板-粤菜）优食汇客","308601","36","4","10"
"1","1/1/2025","冻品","生制预制菜","其他生制品","2674","1002632","成都市辣手熊猫（优食汇客）","148646","180","7","1"
"1","1/1/2025","蔬菜水果","调味类","小米椒","1451","1000225","蔬菜供应（唐老板）优食汇客","323451","14.58","1.08","3"
"1","1/1/2025","蔬菜水果","根茎类","萝卜","1381","1001948","掌厨小白菜等供应(曾)优食汇客","440203","8.4632","1.9072","5.96"
